classification,corner_near_white,edge_near_white,edge_strict_white,edge_transparent,file_path,has_alpha,height,image_id,is_main,overall_near_white,product_id,sort_order,width
clean_white,1.0,1.0,1.0,0.0,p_6a1e397960577.jpg,False,540,2032,0,0.63819,1216,3,540
review_white,1.0,0.89993,0.89853,0.0,p_6a1e397960d2a.jpg,False,540,2033,0,0.55247,1216,6,540
clean_white,1.0,0.93721,0.93643,0.0,p_6a1e397b6a46d.jpg,False,540,2034,1,0.52382,1217,1,540
clean_white,1.0,1.0,1.0,0.0,p_6a1e397b6aa81.jpg,False,540,2035,0,0.63819,1217,3,540
review_white,1.0,0.89993,0.89853,0.0,p_6a1e397b6b08d.jpg,False,540,2036,0,0.55247,1217,6,540
clean_white,1.0,0.93721,0.93643,0.0,p_6a1e397c744f3.jpg,False,540,2037,1,0.52382,1218,1,540
clean_white,1.0,1.0,1.0,0.0,p_6a1e397c74b83.jpg,False,540,2038,0,0.63819,1218,3,540
review_white,1.0,0.89993,0.89853,0.0,p_6a1e397c75281.jpg,False,540,2039,0,0.55247,1218,6,540
clean_white,1.0,0.93721,0.93643,0.0,p_6a1e397d79d9f.jpg,False,540,2040,1,0.52382,1219,1,540
clean_white,1.0,1.0,1.0,0.0,p_6a1e397d7a43f.jpg,False,540,2041,0,0.63819,1219,3,540
review_white,1.0,0.89993,0.89853,0.0,p_6a1e397d7a9ad.jpg,False,540,2042,0,0.55247,1219,6,540
clean_white,1.0,0.93721,0.93643,0.0,p_6a1e397f2d224.jpg,False,540,2043,1,0.52382,1220,1,540
clean_white,1.0,1.0,1.0,0.0,p_6a1e397f2d878.jpg,False,540,2044,0,0.63819,1220,3,540
review_white,1.0,0.89993,0.89853,0.0,p_6a1e397f2dce5.jpg,False,540,2045,0,0.55247,1220,6,540
clean_white,1.0,0.93173,0.92952,0.0,p_6a1e3981c31b7.jpg,False,540,2046,1,0.79937,1221,1,540
needs_background,0.47704,0.43213,0.1168,0.0,p_6a1e3981c368d.jpg,False,540,2047,0,0.19077,1221,3,540
clean_white,1.0,0.99915,0.99864,0.0,p_6a1e3981c3c2e.jpg,False,540,2048,0,0.52012,1221,6,540
clean_white,1.0,0.93721,0.93643,0.0,p_6a1e3982c810d.jpg,False,540,2049,1,0.52382,1222,1,540
clean_white,1.0,1.0,1.0,0.0,p_6a1e3982c86b1.jpg,False,540,2050,0,0.63819,1222,3,540
review_white,1.0,0.89993,0.89853,0.0,p_6a1e3982c8cb2.jpg,False,540,2051,0,0.55247,1222,6,540
clean_white,1.0,0.93721,0.93643,0.0,p_6a1e39847b834.jpg,False,540,2052,1,0.52382,1223,1,540
clean_white,1.0,1.0,1.0,0.0,p_6a1e39847bf63.jpg,False,540,2053,0,0.63819,1223,3,540
review_white,1.0,0.89993,0.89853,0.0,p_6a1e39847c5e0.jpg,False,540,2054,0,0.55247,1223,6,540
clean_white,1.0,0.93721,0.93643,0.0,p_6a1e39860142d.jpg,False,540,2055,1,0.52382,1224,1,540
clean_white,1.0,1.0,1.0,0.0,p_6a1e398601b12.jpg,False,540,2056,0,0.63819,1224,3,540
review_white,1.0,0.89993,0.89853,0.0,p_6a1e3986020d1.jpg,False,540,2057,0,0.55247,1224,6,540
clean_white,1.0,0.93721,0.93643,0.0,p_6a1e39871c269.jpg,False,540,2058,1,0.52382,1225,1,540
clean_white,1.0,1.0,1.0,0.0,p_6a1e39871cabd.jpg,False,540,2059,0,0.63819,1225,3,540
review_white,1.0,0.89993,0.89853,0.0,p_6a1e39871d324.jpg,False,540,2060,0,0.55247,1225,6,540
clean_white,1.0,0.93721,0.93643,0.0,p_6a1e39882249f.jpg,False,540,2061,1,0.52382,1226,1,540
clean_white,1.0,1.0,1.0,0.0,p_6a1e398822a62.jpg,False,540,2062,0,0.63819,1226,3,540
review_white,1.0,0.89993,0.89853,0.0,p_6a1e398823074.jpg,False,540,2063,0,0.55247,1226,6,540
